Song Name,Artists,Released Dates,Popularity,Duration,Album Type,Cover Image,genre,mood,user_id,user_rating
In Love Again,Harman Hundal,2021-02-19,54,236129,single,https://i.scdn.co/image/ab67616d0000b273e08201655340ee940826f336,EDM,Calm,user_215,5
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Romantic,Energetic,user_331,4
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761,Folk,Sad,user_459,1
Silent Love,Namr Gill,2015-03-17,44,266370,single,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983,EDM,Energetic,user_88,5
Zindagi,Amrinder Gill,2016-03-07,45,170666,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9,Romantic,Sad,user_373,1
Ikk Munda 2 - Waiting For Love,Sheera Jasvir,2021-07-04,39,247884,single,https://i.scdn.co/image/ab67616d0000b2730c3255e6ffbb2a1cfab7dcb3,Folk,Calm,user_100,1
Vail (feat. Nimrat Khaira & Shree Brar),Mankirt Aulakh,2020-06-08,61,201453,single,https://i.scdn.co/image/ab67616d0000b2735ee520df839a8e1958fd3c1b,EDM,Sad,user_872,2
Rabba Ve,B Praak,2019-05-06,51,210000,album,https://i.scdn.co/image/ab67616d0000b273328a29d4ec6c76374c480c24,Folk,Calm,user_664,5
I Need Love,Harman Hundal,2022-03-04,38,179052,single,https://i.scdn.co/image/ab67616d0000b273242ec8ebd257cc51f53c4ee8,Folk,Calm,user_131,4
Darling,Sucha Yaar,2021-11-19,45,139836,single,https://i.scdn.co/image/ab67616d0000b27375a0dff177d596ac666fc1e2,Folk,Energetic,user_662,2
Breakup Mashup,Ammy Virk,2019-08-01,40,239880,single,https://i.scdn.co/image/ab67616d0000b27363885514c5d8d2e2634549b7,Romantic,Energetic,user_309,1
Romantic Love Mashup (Best of love music),Abhishek Rawal,2022-08-07,39,289123,single,https://i.scdn.co/image/ab67616d0000b273357e00856edd412a59fe734f,EDM,Romantic,user_770,1
Romantic Rewind,Akhil,2022-02-09,38,1084056,single,https://i.scdn.co/image/ab67616d0000b273aa442efd8bb9b3b9521d0549,EDM,Happy,user_344,1
"Bewafai Kar Gaya - From ""Lekh""",B Praak,2022-03-20,53,228000,single,https://i.scdn.co/image/ab67616d0000b273f69d3e2c88168c9cbfecbf58,Romantic,Romantic,user_492,5
Romantic Mashup,Miss Pooja,2020-02-13,38,251280,single,https://i.scdn.co/image/ab67616d0000b273bba7f019bc7fd87904517e2e,EDM,Romantic,user_414,5
Pehla Valentine,Himmat Sandhu,2021-04-30,42,173048,single,https://i.scdn.co/image/ab67616d0000b27360a2c699fae9a68b80c189f1,Folk,Sad,user_806,2
Valentine Mashup 2022,Akhil,2022-02-14,35,249618,single,https://i.scdn.co/image/ab67616d0000b273b067547333e57bd30cdb5736,EDM,Calm,user_386,4
Feelingaa,Kay Vee Singh,2019-12-23,36,171007,single,https://i.scdn.co/image/ab67616d0000b2736e1ab5f8852848ad2b90db6e,Romantic,Calm,user_192,2
Love Like Me,Jassa Dhillon,2021-03-22,52,160000,album,https://i.scdn.co/image/ab67616d0000b27362857f70b2c7244833dff65f,Folk,Calm,user_956,3
Beliya,B Praak,2022-03-25,58,226265,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722,Romantic,Happy,user_277,1
Soulmate,Akull,2021-09-07,37,184681,single,https://i.scdn.co/image/ab67616d0000b273a71b5aafbfc9fb2d2ed9241a,Folk,Sad,user_161,1
"Pyar Karda - From ""Lover""",Jass Manak,2022-05-26,39,211224,single,https://i.scdn.co/image/ab67616d0000b273c31a9ef87338c639a6444551,Folk,Sad,user_460,1
Daring Love,Varinder Brar,2019-11-01,41,242857,single,https://i.scdn.co/image/ab67616d0000b273e305d898ae14ec999434cb4e,EDM,Calm,user_314,2
Valentine Mashup 2020,B Praak,2020-02-11,27,185800,single,https://i.scdn.co/image/ab67616d0000b273981632dd129a2ae0a1cfe8a4,Folk,Romantic,user_22,2
"Marke - From ""Lover""",Jass Manak,2022-06-27,36,166833,single,https://i.scdn.co/image/ab67616d0000b273914b03f4b65228bb80d6f980,Romantic,Happy,user_253,1
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840,EDM,Romantic,user_748,2
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1,Romantic,Energetic,user_857,5
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722,Folk,Sad,user_561,5
Bewafaai,B Praak,2019-10-22,29,322285,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,Romantic,Sad,user_475,2
Chaal,Lovie Virk,2021-01-06,47,210658,single,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd,Romantic,Romantic,user_59,1
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016,Folk,Happy,user_511,2
Proposal,Mehtab Virk,2013-06-20,42,273407,album,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e,EDM,Sad,user_682,2
Fuck Love,Real Boss,2022-03-15,40,162905,single,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4,Romantic,Romantic,user_476,2
Paagla,Akhil,2021-06-26,46,223783,single,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35,Folk,Happy,user_700,3
Kasam,Hashmat Sultana,2022-06-29,36,230522,compilation,https://i.scdn.co/image/ab67616d0000b2733a8be0cae8dd8c150c626d2d,EDM,Romantic,user_976,5
Heerey,Amrinder Gill,2016-03-07,44,204978,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9,EDM,Happy,user_783,4
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea,EDM,Calm,user_190,4
Ishqaa,Akhil,2019-02-13,35,321004,album,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde,Romantic,Happy,user_958,3
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c,Romantic,Energetic,user_687,2
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77,Romantic,Calm,user_958,3
Relation,Nikk,2019-08-30,46,165750,single,https://i.scdn.co/image/ab67616d0000b27353f89966a4fca501360b384e,EDM,Romantic,user_563,3
Temporary pyar,Kaka,2021-09-04,59,245016,single,https://i.scdn.co/image/ab67616d0000b27393a9941be37b24ef10aa49f0,Romantic,Calm,user_876,1
Gal Karke,Inder Chahal,2019-04-15,64,173381,single,https://i.scdn.co/image/ab67616d0000b2735b8b7844099b6160ff4a6a54,Folk,Calm,user_567,5
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d,Romantic,Romantic,user_244,4
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Romantic,Romantic,user_832,2
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,EDM,Energetic,user_505,4
True Love,Rupal J,2019-12-20,11,274311,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Romantic,Romantic,user_131,4
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6,Folk,Sad,user_485,5
Mann Bharrya,B Praak,2019-10-22,52,276521,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,EDM,Sad,user_819,4
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb,Folk,Energetic,user_647,4
In Love Again,Harman Hundal,2021-02-19,54,236129,single,https://i.scdn.co/image/ab67616d0000b273e08201655340ee940826f336,EDM,Happy,user_21,3
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,EDM,Happy,user_841,5
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761,Romantic,Sad,user_167,1
Silent Love,Namr Gill,2015-03-17,44,266370,single,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983,Folk,Romantic,user_274,2
Zindagi,Amrinder Gill,2016-03-07,45,170666,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9,EDM,Energetic,user_388,4
Ikk Munda 2 - Waiting For Love,Sheera Jasvir,2021-07-04,39,247884,single,https://i.scdn.co/image/ab67616d0000b2730c3255e6ffbb2a1cfab7dcb3,Romantic,Happy,user_601,2
Vail (feat. Nimrat Khaira & Shree Brar),Mankirt Aulakh,2020-06-08,61,201453,single,https://i.scdn.co/image/ab67616d0000b2735ee520df839a8e1958fd3c1b,EDM,Happy,user_316,1
Rabba Ve,B Praak,2019-05-06,51,210000,album,https://i.scdn.co/image/ab67616d0000b273328a29d4ec6c76374c480c24,EDM,Calm,user_14,2
I Need Love,Harman Hundal,2022-03-04,38,179052,single,https://i.scdn.co/image/ab67616d0000b273242ec8ebd257cc51f53c4ee8,EDM,Sad,user_242,1
Darling,Sucha Yaar,2021-11-19,45,139836,single,https://i.scdn.co/image/ab67616d0000b27375a0dff177d596ac666fc1e2,EDM,Romantic,user_777,3
Breakup Mashup,Ammy Virk,2019-08-01,40,239880,single,https://i.scdn.co/image/ab67616d0000b27363885514c5d8d2e2634549b7,EDM,Energetic,user_346,4
Romantic Love Mashup (Best of love music),Abhishek Rawal,2022-08-07,39,289123,single,https://i.scdn.co/image/ab67616d0000b273357e00856edd412a59fe734f,EDM,Happy,user_565,1
Romantic Rewind,Akhil,2022-02-09,38,1084056,single,https://i.scdn.co/image/ab67616d0000b273aa442efd8bb9b3b9521d0549,Romantic,Calm,user_898,2
"Bewafai Kar Gaya - From ""Lekh""",B Praak,2022-03-20,53,228000,single,https://i.scdn.co/image/ab67616d0000b273f69d3e2c88168c9cbfecbf58,EDM,Sad,user_340,4
Romantic Mashup,Miss Pooja,2020-02-13,38,251280,single,https://i.scdn.co/image/ab67616d0000b273bba7f019bc7fd87904517e2e,Folk,Sad,user_92,3
Pehla Valentine,Himmat Sandhu,2021-04-30,42,173048,single,https://i.scdn.co/image/ab67616d0000b27360a2c699fae9a68b80c189f1,Romantic,Energetic,user_367,4
Valentine Mashup 2022,Akhil,2022-02-14,35,249618,single,https://i.scdn.co/image/ab67616d0000b273b067547333e57bd30cdb5736,Folk,Happy,user_956,1
Feelingaa,Kay Vee Singh,2019-12-23,36,171007,single,https://i.scdn.co/image/ab67616d0000b2736e1ab5f8852848ad2b90db6e,EDM,Energetic,user_455,3
Love Like Me,Jassa Dhillon,2021-03-22,52,160000,album,https://i.scdn.co/image/ab67616d0000b27362857f70b2c7244833dff65f,Folk,Energetic,user_428,2
Beliya,B Praak,2022-03-25,58,226265,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722,EDM,Calm,user_509,3
Soulmate,Akull,2021-09-07,37,184681,single,https://i.scdn.co/image/ab67616d0000b273a71b5aafbfc9fb2d2ed9241a,EDM,Sad,user_776,3
"Pyar Karda - From ""Lover""",Jass Manak,2022-05-26,39,211224,single,https://i.scdn.co/image/ab67616d0000b273c31a9ef87338c639a6444551,Romantic,Romantic,user_943,5
Daring Love,Varinder Brar,2019-11-01,41,242857,single,https://i.scdn.co/image/ab67616d0000b273e305d898ae14ec999434cb4e,Romantic,Sad,user_35,3
Valentine Mashup 2020,B Praak,2020-02-11,27,185800,single,https://i.scdn.co/image/ab67616d0000b273981632dd129a2ae0a1cfe8a4,EDM,Sad,user_206,3
"Marke - From ""Lover""",Jass Manak,2022-06-27,36,166833,single,https://i.scdn.co/image/ab67616d0000b273914b03f4b65228bb80d6f980,Romantic,Calm,user_81,4
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840,Folk,Romantic,user_932,2
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1,Romantic,Happy,user_562,4
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722,Romantic,Romantic,user_872,4
Bewafaai,B Praak,2019-10-22,29,322285,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,Folk,Happy,user_388,1
Chaal,Lovie Virk,2021-01-06,47,210658,single,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd,Romantic,Romantic,user_2,4
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016,EDM,Energetic,user_390,5
Proposal,Mehtab Virk,2013-06-20,42,273407,album,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e,Folk,Romantic,user_566,5
Fuck Love,Real Boss,2022-03-15,40,162905,single,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4,EDM,Calm,user_106,1
Paagla,Akhil,2021-06-26,46,223783,single,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35,Folk,Happy,user_772,2
Kasam,Hashmat Sultana,2022-06-29,36,230522,compilation,https://i.scdn.co/image/ab67616d0000b2733a8be0cae8dd8c150c626d2d,EDM,Sad,user_822,2
Heerey,Amrinder Gill,2016-03-07,44,204978,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9,EDM,Calm,user_477,4
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea,Romantic,Happy,user_703,4
Ishqaa,Akhil,2019-02-13,35,321004,album,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde,EDM,Happy,user_402,4
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c,Romantic,Sad,user_730,2
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77,Folk,Energetic,user_556,3
Temporary pyar,Kaka,2021-09-04,59,245016,single,https://i.scdn.co/image/ab67616d0000b27393a9941be37b24ef10aa49f0,EDM,Calm,user_162,5
Relation,Nikk,2019-08-30,46,165750,single,https://i.scdn.co/image/ab67616d0000b27353f89966a4fca501360b384e,EDM,Sad,user_202,3
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d,Folk,Sad,user_958,3
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Energetic,user_996,2
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,EDM,Calm,user_270,3
True Love,Rupal J,2019-12-20,11,274311,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Sad,user_863,1
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6,Romantic,Energetic,user_816,4
Mann Bharrya,B Praak,2019-10-22,52,276521,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,Folk,Calm,user_271,1
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb,Folk,Romantic,user_456,5
In Love Again,Harman Hundal,2021-02-19,54,236129,single,https://i.scdn.co/image/ab67616d0000b273e08201655340ee940826f336,EDM,Happy,user_462,4
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Romantic,Energetic,user_727,3
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761,Folk,Happy,user_252,5
Silent Love,Namr Gill,2015-03-17,44,266370,single,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983,Romantic,Romantic,user_702,4
Zindagi,Amrinder Gill,2016-03-07,45,170666,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9,Romantic,Sad,user_296,3
Ikk Munda 2 - Waiting For Love,Sheera Jasvir,2021-07-04,39,247884,single,https://i.scdn.co/image/ab67616d0000b2730c3255e6ffbb2a1cfab7dcb3,Romantic,Sad,user_725,1
Vail (feat. Nimrat Khaira & Shree Brar),Mankirt Aulakh,2020-06-08,61,201453,single,https://i.scdn.co/image/ab67616d0000b2735ee520df839a8e1958fd3c1b,EDM,Calm,user_720,4
Rabba Ve,B Praak,2019-05-06,51,210000,album,https://i.scdn.co/image/ab67616d0000b273328a29d4ec6c76374c480c24,Folk,Energetic,user_749,3
I Need Love,Harman Hundal,2022-03-04,38,179052,single,https://i.scdn.co/image/ab67616d0000b273242ec8ebd257cc51f53c4ee8,EDM,Energetic,user_338,1
Darling,Sucha Yaar,2021-11-19,45,139836,single,https://i.scdn.co/image/ab67616d0000b27375a0dff177d596ac666fc1e2,Folk,Calm,user_879,5
Breakup Mashup,Ammy Virk,2019-08-01,40,239880,single,https://i.scdn.co/image/ab67616d0000b27363885514c5d8d2e2634549b7,Folk,Happy,user_53,5
Romantic Love Mashup (Best of love music),Abhishek Rawal,2022-08-07,39,289123,single,https://i.scdn.co/image/ab67616d0000b273357e00856edd412a59fe734f,EDM,Sad,user_792,5
Romantic Rewind,Akhil,2022-02-09,38,1084056,single,https://i.scdn.co/image/ab67616d0000b273aa442efd8bb9b3b9521d0549,Romantic,Sad,user_922,5
"Bewafai Kar Gaya - From ""Lekh""",B Praak,2022-03-20,53,228000,single,https://i.scdn.co/image/ab67616d0000b273f69d3e2c88168c9cbfecbf58,Romantic,Energetic,user_217,2
Romantic Mashup,Miss Pooja,2020-02-13,38,251280,single,https://i.scdn.co/image/ab67616d0000b273bba7f019bc7fd87904517e2e,Folk,Energetic,user_764,4
Pehla Valentine,Himmat Sandhu,2021-04-30,42,173048,single,https://i.scdn.co/image/ab67616d0000b27360a2c699fae9a68b80c189f1,EDM,Calm,user_188,4
Valentine Mashup 2022,Akhil,2022-02-14,35,249618,single,https://i.scdn.co/image/ab67616d0000b273b067547333e57bd30cdb5736,Romantic,Romantic,user_380,2
Feelingaa,Kay Vee Singh,2019-12-23,36,171007,single,https://i.scdn.co/image/ab67616d0000b2736e1ab5f8852848ad2b90db6e,Romantic,Happy,user_493,3
Love Like Me,Jassa Dhillon,2021-03-22,52,160000,album,https://i.scdn.co/image/ab67616d0000b27362857f70b2c7244833dff65f,Folk,Romantic,user_41,3
Beliya,B Praak,2022-03-25,58,226265,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722,Folk,Romantic,user_157,5
Soulmate,Akull,2021-09-07,37,184681,single,https://i.scdn.co/image/ab67616d0000b273a71b5aafbfc9fb2d2ed9241a,EDM,Energetic,user_15,1
"Pyar Karda - From ""Lover""",Jass Manak,2022-05-26,39,211224,single,https://i.scdn.co/image/ab67616d0000b273c31a9ef87338c639a6444551,Folk,Energetic,user_813,3
Daring Love,Varinder Brar,2019-11-01,41,242857,single,https://i.scdn.co/image/ab67616d0000b273e305d898ae14ec999434cb4e,Romantic,Energetic,user_65,1
Intense Love,Jack Love,2022-09-14,36,133053,single,https://i.scdn.co/image/ab67616d0000b273c4ca87612c74d9fd45fd5aee,Romantic,Romantic,user_857,4
Valentine Mashup 2020,B Praak,2020-02-11,27,185800,single,https://i.scdn.co/image/ab67616d0000b273981632dd129a2ae0a1cfe8a4,Romantic,Happy,user_839,1
"Marke - From ""Lover""",Jass Manak,2022-06-27,36,166833,single,https://i.scdn.co/image/ab67616d0000b273914b03f4b65228bb80d6f980,Romantic,Energetic,user_521,4
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840,EDM,Sad,user_344,2
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1,EDM,Happy,user_129,2
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722,Folk,Sad,user_648,5
Bewafaai,B Praak,2019-10-22,29,322285,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,Folk,Happy,user_472,3
Chaal,Lovie Virk,2021-01-06,47,210658,single,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd,Folk,Energetic,user_63,5
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016,EDM,Calm,user_139,4
Proposal,Mehtab Virk,2013-06-20,42,273407,album,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e,Romantic,Energetic,user_499,5
Fuck Love,Real Boss,2022-03-15,40,162905,single,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4,Folk,Romantic,user_593,1
Paagla,Akhil,2021-06-26,46,223783,single,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35,Romantic,Romantic,user_392,4
Kasam,Hashmat Sultana,2022-06-29,36,230522,compilation,https://i.scdn.co/image/ab67616d0000b2733a8be0cae8dd8c150c626d2d,Folk,Happy,user_675,2
Heerey,Amrinder Gill,2016-03-07,44,204978,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9,Folk,Romantic,user_419,3
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea,Folk,Energetic,user_289,4
Ishqaa,Akhil,2019-02-13,35,321004,album,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde,Folk,Sad,user_379,4
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c,Folk,Energetic,user_773,1
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77,Romantic,Happy,user_490,3
Temporary pyar,Kaka,2021-09-04,59,245016,single,https://i.scdn.co/image/ab67616d0000b27393a9941be37b24ef10aa49f0,Folk,Romantic,user_231,2
Relation,Nikk,2019-08-30,46,165750,single,https://i.scdn.co/image/ab67616d0000b27353f89966a4fca501360b384e,Romantic,Sad,user_41,4
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d,EDM,Calm,user_28,4
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Sad,user_135,1
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Romantic,Sad,user_201,5
True Love,Rupal J,2019-12-20,11,274311,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,EDM,Energetic,user_840,2
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6,EDM,Calm,user_780,3
Mann Bharrya,B Praak,2019-10-22,52,276521,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,EDM,Happy,user_930,4
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb,Romantic,Happy,user_33,4
In Love Again,Harman Hundal,2021-02-19,54,236129,single,https://i.scdn.co/image/ab67616d0000b273e08201655340ee940826f336,Folk,Sad,user_48,2
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Sad,user_503,5
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761,Romantic,Romantic,user_407,4
